Date,Price,Open,High,Low,Change
1989-12-27,1.2015,1.2015,1.2031,1.1889,0.59
1989-12-28,1.199,1.199,1.2039,1.1914,-0.21
1989-12-29,1.1918,1.1918,1.195,1.185,-0.6
1989-12-30,1.1918,1.1918,1.195,1.185,-0.6
1989-12-31,1.1918,1.1918,1.195,1.185,-0.6
1990-01-01,1.1918,1.1918,1.195,1.185,-0.6
1990-01-02,1.1839,1.1839,1.2008,1.1795,-0.66
1990-01-03,1.1778,1.1778,1.1841,1.1729,-0.52
1990-01-04,1.2067,1.2067,1.2104,1.169,2.45
1990-01-05,1.1985,1.1985,1.2075,1.1904,-0.68
1990-01-06,1.1985,1.1985,1.2075,1.1904,-0.68
1990-01-07,1.1985,1.1985,1.2075,1.1904,-0.68
1990-01-08,1.2162,1.2162,1.2173,1.1929,1.48
1990-01-09,1.2115,1.2115,1.2136,1.2012,-0.39
1990-01-10,1.2083,1.2083,1.2185,1.2048,-0.26
1990-01-11,1.209,1.209,1.2111,1.1993,0.06
1990-01-12,1.2058,1.2058,1.2151,1.2022,-0.26
1990-01-13,1.2058,1.2058,1.2151,1.2022,-0.26
1990-01-14,1.2058,1.2058,1.2151,1.2022,-0.26
1990-01-15,1.201,1.201,1.2098,1.201,-0.4
1990-01-16,1.202,1.202,1.2048,1.1887,0.08
1990-01-17,1.205,1.205,1.21,1.1969,0.25
1990-01-18,1.1888,1.1888,1.202,1.1865,-1.34
1990-01-19,1.1897,1.1897,1.1957,1.1844,0.08
1990-01-20,1.1897,1.1897,1.1957,1.1844,0.08
1990-01-21,1.1897,1.1897,1.1957,1.1844,0.08
1990-01-22,1.1818,1.1818,1.1871,1.1791,-0.66
1990-01-23,1.2016,1.2016,1.2028,1.1818,1.68
1990-01-24,1.205,1.205,1.2132,1.1993,0.28
1990-01-25,1.2082,1.2082,1.2087,1.2024,0.27
1990-01-26,1.208,1.208,1.2088,1.2004,-0.02
1990-01-27,1.208,1.208,1.2088,1.2004,-0.02
1990-01-28,1.208,1.208,1.2088,1.2004,-0.02
1990-01-29,1.2146,1.2146,1.2186,1.2079,0.55
1990-01-30,1.2156,1.2156,1.2209,1.2123,0.08
1990-01-31,1.2085,1.2085,1.2148,1.2056,-0.58
1990-02-01,1.2159,1.2159,1.2179,1.2089,0.61
1990-02-02,1.2127,1.2127,1.2181,1.2068,-0.26
1990-02-03,1.2127,1.2127,1.2181,1.2068,-0.26
1990-02-04,1.2127,1.2127,1.2181,1.2068,-0.26
1990-02-05,1.2288,1.2288,1.2304,1.2128,1.33
1990-02-06,1.2293,1.2293,1.2324,1.2254,0.04
1990-02-07,1.2271,1.2271,1.2325,1.224,-0.18
1990-02-08,1.2225,1.2225,1.2239,1.2166,-0.37
1990-02-09,1.2218,1.2218,1.223,1.2149,-0.06
1990-02-10,1.2218,1.2218,1.223,1.2149,-0.06
1990-02-11,1.2218,1.2218,1.223,1.2149,-0.06
1990-02-12,1.2178,1.2178,1.2228,1.2161,-0.33
1990-02-13,1.2174,1.2174,1.218,1.2083,-0.03
1990-02-14,1.2164,1.2164,1.2226,1.2161,-0.08
1990-02-15,1.2045,1.2045,1.2175,1.2044,-0.98
1990-02-16,1.2188,1.2188,1.2192,1.2014,1.19
1990-02-17,1.2188,1.2188,1.2192,1.2014,1.19
1990-02-18,1.2188,1.2188,1.2192,1.2014,1.19
1990-02-19,1.2174,1.2174,1.2208,1.2136,-0.11
1990-02-20,1.2246,1.2246,1.2247,1.2167,0.59
1990-02-21,1.2224,1.2224,1.2285,1.2209,-0.18
1990-02-22,1.2243,1.2243,1.2277,1.2207,0.16
1990-02-23,1.2189,1.2189,1.2234,1.2166,-0.44
1990-02-24,1.2189,1.2189,1.2234,1.2166,-0.44
1990-02-25,1.2189,1.2189,1.2234,1.2166,-0.44
1990-02-26,1.2127,1.2127,1.2148,1.2077,-0.51
1990-02-27,1.2102,1.2102,1.2146,1.2081,-0.21
1990-02-28,1.2008,1.2008,1.2108,1.1996,-0.78
1990-03-01,1.1919,1.1919,1.2073,1.1888,-0.74
1990-03-02,1.1913,1.1913,1.1991,1.1873,-0.05
1990-03-03,1.1913,1.1913,1.1991,1.1873,-0.05
1990-03-04,1.1913,1.1913,1.1991,1.1873,-0.05
1990-03-05,1.2025,1.2025,1.206,1.1917,0.94
1990-03-06,1.1991,1.1991,1.2071,1.1976,-0.28
1990-03-07,1.2039,1.2039,1.2045,1.1951,0.4
1990-03-08,1.2005,1.2005,1.2061,1.1964,-0.28
1990-03-09,1.1966,1.1966,1.2031,1.1943,-0.32
1990-03-10,1.1966,1.1966,1.2031,1.1943,-0.32
1990-03-11,1.1966,1.1966,1.2031,1.1943,-0.32
1990-03-12,1.1894,1.1894,1.1963,1.1879,-0.6
1990-03-13,1.1907,1.1907,1.1939,1.1841,0.11
1990-03-14,1.1919,1.1919,1.1944,1.1881,0.1
1990-03-15,1.201,1.201,1.2016,1.1904,0.76
1990-03-16,1.2001,1.2001,1.2051,1.1987,-0.07
1990-03-17,1.2001,1.2001,1.2051,1.1987,-0.07
1990-03-18,1.2001,1.2001,1.2051,1.1987,-0.07
1990-03-19,1.2071,1.2071,1.2119,1.2048,0.58
1990-03-20,1.1942,1.1942,1.2096,1.1926,-1.07
1990-03-21,1.1902,1.1902,1.1963,1.1898,-0.33
1990-03-22,1.1968,1.1968,1.1992,1.1907,0.55
1990-03-23,1.1915,1.1915,1.1978,1.1904,-0.44
1990-03-24,1.1915,1.1915,1.1978,1.1904,-0.44
1990-03-25,1.1915,1.1915,1.1978,1.1904,-0.44
1990-03-26,1.1964,1.1964,1.2002,1.1874,0.41
1990-03-27,1.194,1.194,1.198,1.1908,-0.2
1990-03-28,1.1959,1.1959,1.2001,1.1923,0.16
1990-03-29,1.2073,1.2073,1.2073,1.1978,0.95
1990-03-30,1.2065,1.2065,1.213,1.2024,-0.07
1990-03-31,1.2065,1.2065,1.213,1.2024,-0.07
1990-04-01,1.2065,1.2065,1.213,1.2024,-0.07
1990-04-02,1.2018,1.2018,1.2041,1.198,-0.39
1990-04-03,1.205,1.205,1.2054,1.2009,0.27
1990-04-04,1.2037,1.2037,1.2062,1.2035,-0.11
1990-04-05,1.2037,1.2037,1.206,1.2033,0
1990-04-06,1.2068,1.2068,1.2096,1.2038,0.26
1990-04-07,1.2068,1.2068,1.2096,1.2038,0.26
1990-04-08,1.2068,1.2068,1.2096,1.2038,0.26
1990-04-09,1.2086,1.2086,1.2113,1.2068,0.15
1990-04-10,1.221,1.221,1.2217,1.2079,1.03
1990-04-11,1.2222,1.2222,1.2239,1.2104,0.1
1990-04-12,1.2218,1.2218,1.2243,1.2184,-0.03
1990-04-13,1.221,1.221,1.2224,1.2202,-0.07
1990-04-14,1.221,1.221,1.2224,1.2202,-0.07
1990-04-15,1.221,1.221,1.2224,1.2202,-0.07
1990-04-16,1.2171,1.2171,1.2199,1.2141,-0.32
1990-04-17,1.2175,1.2175,1.2191,1.2142,0.03
1990-04-18,1.221,1.221,1.2234,1.2158,0.29
1990-04-19,1.2167,1.2167,1.2235,1.2145,-0.35
1990-04-20,1.2119,1.2119,1.2188,1.2098,-0.39
1990-04-21,1.2119,1.2119,1.2188,1.2098,-0.39
1990-04-22,1.2119,1.2119,1.2188,1.2098,-0.39
1990-04-23,1.2047,1.2047,1.2097,1.2041,-0.59
1990-04-24,1.2056,1.2056,1.2096,1.2026,0.07
1990-04-25,1.219,1.219,1.2207,1.2074,1.11
1990-04-26,1.2176,1.2176,1.221,1.2154,-0.11
1990-04-27,1.2186,1.2186,1.2225,1.2132,0.08
1990-04-28,1.2186,1.2186,1.2225,1.2132,0.08
1990-04-29,1.2186,1.2186,1.2225,1.2132,0.08
1990-04-30,1.2188,1.2188,1.2212,1.215,0.02
1990-05-01,1.2184,1.2184,1.2197,1.2136,-0.03
1990-05-02,1.2155,1.2155,1.2182,1.2134,-0.24
1990-05-03,1.217,1.217,1.2201,1.2139,0.12
1990-05-04,1.2296,1.2296,1.231,1.2182,1.04
1990-05-05,1.2296,1.2296,1.231,1.2182,1.04
1990-05-06,1.2296,1.2296,1.231,1.2182,1.04
1990-05-07,1.2365,1.2365,1.2397,1.2299,0.56
1990-05-08,1.2354,1.2354,1.2392,1.2336,-0.09
1990-05-09,1.2495,1.2495,1.253,1.2362,1.14
1990-05-10,1.2526,1.2526,1.2532,1.2431,0.25
1990-05-11,1.2458,1.2458,1.254,1.2437,-0.54
1990-05-12,1.2458,1.2458,1.254,1.2437,-0.54
1990-05-13,1.2458,1.2458,1.254,1.2437,-0.54
1990-05-14,1.2448,1.2448,1.2471,1.2411,-0.08
1990-05-15,1.2418,1.2418,1.247,1.2395,-0.24
1990-05-16,1.2417,1.2417,1.247,1.2369,-0.01
1990-05-17,1.2416,1.2416,1.2521,1.2388,-0.01
1990-05-18,1.2416,1.2416,1.2454,1.2393,0
1990-05-19,1.2416,1.2416,1.2454,1.2393,0
